accuracy,id
"[0.9658528975898916, 0.9676312300132595, 0.9647921378987598, 0.9691911707355121, 0.8626940176273301, 0.8532407768504797]",1060
"[0.9511018644898824, 0.9715357194916714, 0.9509229688721625, 0.9740402581397506, 0.9569457880020672, 0.9683354756635703]",1061
